CountryWorldscopeList,CompanyNameOfficial,CompanyNameOfficialSource,CompanyNameOfficialNotes,ISIN,ISINSource,ISINNotes,WorldscopePermanentID,AccountingPeriodEndDate,CountryOfIncorporation,CountryOfIncorporationSource,CountryOfIncorporationNotes,Consolidation,ConsolidationSource,ConsolidationNotes,AccountingStandards,AccountingStandardsSource,AccountingStandardsNotes,ListingStatus,ListingStatusSource,ListingStatusNotes,ListingPrimary,ListingPrimarySource,ListingPrimaryNotes,SampleNoIFRSGermany2012,SampleNoIFRSGermany2020,SampleGermany2020,SampleNoIFRSUK2007,SampleNoIFRSUK2012,SampleNoIFRSUK2020
Germany,,,,,,,C280JUA00,31/12/2012,Germany,1,,c,,,Local,,,2,2,,,,"CS: ""Die Studio Babelsberg AG hat die Börse München zur „Heimatbörse“ bestimmt."" (source: AR)",1,,,,,
Germany,Studio Babelsberg AG,1,,DE000A1TNM50,3,CS: source: DGAP,C280JUA00,31/12/2020,Germany,1,,c,1,,Local,1,,0,2,"CS: delisting 30/06/2016; ""Mit Antrag vom 20. Oktober 2014 hat die Studio Babelsberg AG die Einbeziehung der Namensaktien in den Freiverkehr widerrufen. Die Einstellung wurde mit Ablauf des 30. Juni 2016 wirksam."" (source: AR 2016)",,,,,1,1,,,
Germany,ifa systems AG,1,,DE0007830788,1,,C280CUA00,31/12/2020,Germany,1,,c,1,"CS: consolidated FS published on company website but not on registry; total assets in WS is from consolidated FS (less ""Latente Steuern"")",IFRS,1,,2,2,,FRA Basic Board,2,,,,1,,,
Germany,,,,,,,C280MSC00,31/12/2012,Germany,1,,u,,,Local,,,,,,,,,1,,,,,
Germany,,,CS: HCI Capital AG,,,,C280D8A00,31/12/2012,Germany,1,,c,,,Local,,,2,2,"CS: ""Entry Standard""",,,,1,,,,,
Germany,Ernst Russ AG,1,,DE000A161077,1,,C280D8A00,31/12/2020,Germany,1,,c,1,,Local,1,,2,2,,FRA Scale,2,CS: also HAM Mittelstandsbörse Deutschland,,1,1,,,
Germany,Landesbank Baden-Württemberg,1,,,,CS: WS ISIN DE000A0B1R64 relates to a profit participation certificate,C280H7020,31/12/2020,Germany,1,,c,1,,IFRS,1,,3,2,"CS: ""§ 315e Abs. 1 HGB""",,,,,,1,,,
Germany,ZEAL Network SE,1,,DE000ZEAL241,1,,C280C8A00,31/12/2020,Germany,2,CS: United Kingdom from 2014 to 2018 (source: company website),c,1,,IFRS,1,,1,1,,FRA Prime Standard,1,,,,1,,,
Germany,SEVEN PRINCIPLES AG,1,,DE000A2AAA75,1,,C280RNA00,31/12/2020,Germany,1,,c,1,,Local,1,,2,3,"CS: Open Market Berlin, Düsseldorf, Frankfurt (Basic Board), Hamburg, Stuttgart, Tradegate (source: DGAP)",FRA Basic Board,4,,,1,1,,,
Germany,Lloyd Fonds AG,1,,DE000A12UP29,1,,C280HAA00,31/12/2020,Germany,1,,c,1,,IFRS,1,,2,2,"CS: Open Market Frankfurt, Berlin, Düsseldorf, Hamburg, München, Stuttgart, Tradegate",FRA Scale,2,,,,1,,,
Germany,,,CS: DESIGN Bau AG,,,,C280EAA00,31/12/2012,Germany,1,,c,,,Local,,,2,3,CS: source: DGAP,,,,1,,,,,
Germany,,,CS: Leonardo Venture GmbH & Co. KGaA,,,,C280OUC00,31/12/2012,Germany,1,,u,,,Local,,,,,,,,,1,,,,,
Germany,Leonardo Venture GmbH & Co. KGaA,1,,DE0005878763,3,CS: source: DGAP,C280OUC00,31/12/2020,Germany,1,,u,1,,Local,1,,0,4,"CS: delisting 27/12/2013; ""Die Börse München hat das Delisting versehentlich schon mit Wirkung zum 27.12.2013 vollzogen."", 08/01/2014",,,,,1,1,,,
Germany,CAMERIT AG,1,,DE000HNC2059,1,,C280ZBA00,31/12/2020,Germany,1,,c,1,,IFRS,1,,1,1,,FRA General Standard,1,,,,1,,,
Germany,,,,,,,C280EMA00,31/12/2012,Germany,1,,u,,,Local,,,2,2,"CS: ""Entry Standard""",,,,1,,,,,
Germany,NanoFocus AG,1,,DE000A3H2242,1,,C280EMA00,31/12/2020,Germany,1,,c,1,,Local,1,,2,2,,MUN Open Market,2,"CS: ""Bis zum 30. Juni 2020 war das Unternehmen im Basic Board (ein privatrechtliches Börsensegment der Börse Frankfurt innerhalb des gesetzlich definierten Freiverkehrs) gelistet.""",,1,1,,,
Germany,VIB Vermögen AG,1,,DE000A2YPDD0,1,,C2809MA00,31/12/2020,Germany,1,,c,1,,IFRS,1,,2,2,,MUN m:access,2,,,,1,,,
Germany,JDC Group AG,1,,DE000A0B9N37,1,,C2801UA00,31/12/2020,Germany,1,,c,1,,IFRS,1,,2,1,,FRA Scale,1,,,,1,,,
Germany,Cliq Digital AG,1,,DE000A0HHJR3,1,,C2806UA00,31/12/2020,Germany,1,,c,1,,IFRS,1,,2,2,,FRA Scale,2,,,,1,,,
Germany,HAEMATO AG,1,,DE000A289VV1,2,,C280KUA00,31/12/2020,Germany,1,,c,1,,IFRS,1,,2,2,,FRA Basic Board,2,,,,1,,,
Germany,4SC AG,1,,DE000A3E5C40,1,,C280IOA00,31/12/2020,Germany,1,,u + u,1,,IFRS + Local,1,CS: IFRS FS published on company website but not on registry; total assets in WS is from IFRS FS; statutory German GAAP FS published on registry,1,2,,FRA Prime Standard,2,,,,1,,,
Germany,,,CS: filing on registry only contains a balance sheet,,,,C280FMG00,31/12/2012,Germany,1,,u,,,Local,,,,,,,,,1,,,,,
Germany,,,,,,,C280TOA00,31/12/2012,Germany,1,,u,,,Local,,,,,,,,,1,,,,,
